                         List of relations
 Schema |                   Name                   | Type  | Owner  
--------+------------------------------------------+-------+--------
 public | abuse_reports                            | table | gitlab
 public | appearances                              | table | gitlab
 public | application_setting_terms                | table | gitlab
 public | application_settings                     | table | gitlab
 public | ar_internal_metadata                     | table | gitlab
 public | audit_events                             | table | gitlab
 public | award_emoji                              | table | gitlab
 public | badges                                   | table | gitlab
 public | board_group_recent_visits                | table | gitlab
 public | board_project_recent_visits              | table | gitlab
 public | boards                                   | table | gitlab
 public | broadcast_messages                       | table | gitlab
 public | chat_names                               | table | gitlab
 public | chat_teams                               | table | gitlab
 public | ci_build_trace_chunks                    | table | gitlab
 public | ci_build_trace_section_names             | table | gitlab
 public | ci_build_trace_sections                  | table | gitlab
 public | ci_builds                                | table | gitlab
 public | ci_builds_metadata                       | table | gitlab
 public | ci_builds_runner_session                 | table | gitlab
 public | ci_group_variables                       | table | gitlab
 public | ci_job_artifacts                         | table | gitlab
 public | ci_pipeline_chat_data                    | table | gitlab
 public | ci_pipeline_schedule_variables           | table | gitlab
 public | ci_pipeline_schedules                    | table | gitlab
 public | ci_pipeline_variables                    | table | gitlab
 public | ci_pipelines                             | table | gitlab
 public | ci_runner_namespaces                     | table | gitlab
 public | ci_runner_projects                       | table | gitlab
 public | ci_runners                               | table | gitlab
 public | ci_stages                                | table | gitlab
 public | ci_trigger_requests                      | table | gitlab
 public | ci_triggers                              | table | gitlab
 public | ci_variables                             | table | gitlab
 public | cluster_groups                           | table | gitlab
 public | cluster_platforms_kubernetes             | table | gitlab
 public | cluster_projects                         | table | gitlab
 public | cluster_providers_gcp                    | table | gitlab
 public | clusters                                 | table | gitlab
 public | clusters_applications_cert_managers      | table | gitlab
 public | clusters_applications_helm               | table | gitlab
 public | clusters_applications_ingress            | table | gitlab
 public | clusters_applications_jupyter            | table | gitlab
 public | clusters_applications_knative            | table | gitlab
 public | clusters_applications_prometheus         | table | gitlab
 public | clusters_applications_runners            | table | gitlab
 public | clusters_kubernetes_namespaces           | table | gitlab
 public | container_repositories                   | table | gitlab
 public | conversational_development_index_metrics | table | gitlab
 public | deploy_keys_projects                     | table | gitlab
 public | deploy_tokens                            | table | gitlab
 public | deployments                              | table | gitlab
 public | emails                                   | table | gitlab
 public | environments                             | table | gitlab
 public | events                                   | table | gitlab
 public | feature_gates                            | table | gitlab
 public | features                                 | table | gitlab
 public | fork_network_members                     | table | gitlab
 public | fork_networks                            | table | gitlab
 public | forked_project_links                     | table | gitlab
 public | gpg_key_subkeys                          | table | gitlab
 public | gpg_keys                                 | table | gitlab
 public | gpg_signatures                           | table | gitlab
 public | group_custom_attributes                  | table | gitlab
 public | identities                               | table | gitlab
 public | import_export_uploads                    | table | gitlab
 public | internal_ids                             | table | gitlab
 public | issue_assignees                          | table | gitlab
 public | issue_metrics                            | table | gitlab
 public | issues                                   | table | gitlab
 public | keys                                     | table | gitlab
 public | label_links                              | table | gitlab
 public | label_priorities                         | table | gitlab
 public | labels                                   | table | gitlab
 public | lfs_file_locks                           | table | gitlab
 public | lfs_objects                              | table | gitlab
 public | lfs_objects_projects                     | table | gitlab
 public | lists                                    | table | gitlab
 public | members                                  | table | gitlab
 public | merge_request_assignees                  | table | gitlab
 public | merge_request_diff_commits               | table | gitlab
 public | merge_request_diff_files                 | table | gitlab
 public | merge_request_diffs                      | table | gitlab
 public | merge_request_metrics                    | table | gitlab
 public | merge_requests                           | table | gitlab
 public | merge_requests_closing_issues            | table | gitlab
 public | merge_trains                             | table | gitlab
 public | milestones                               | table | gitlab
 public | namespaces                               | table | gitlab
 public | note_diff_files                          | table | gitlab
 public | notes                                    | table | gitlab
 public | notification_settings                    | table | gitlab
 public | oauth_access_grants                      | table | gitlab
 public | oauth_access_tokens                      | table | gitlab
 public | oauth_applications                       | table | gitlab
 public | oauth_openid_requests                    | table | gitlab
 public | pages_domains                            | table | gitlab
 public | personal_access_tokens                   | table | gitlab
 public | pool_repositories                        | table | gitlab
 public | programming_languages                    | table | gitlab
 public | project_authorizations                   | table | gitlab
 public | project_auto_devops                      | table | gitlab
 public | project_ci_cd_settings                   | table | gitlab
 public | project_custom_attributes                | table | gitlab
 public | project_daily_statistics                 | table | gitlab
 public | project_deploy_tokens                    | table | gitlab
 public | project_error_tracking_settings          | table | gitlab
 public | project_features                         | table | gitlab
 public | project_group_links                      | table | gitlab
 public | project_import_data                      | table | gitlab
 public | project_metrics_settings                 | table | gitlab
 public | project_mirror_data                      | table | gitlab
 public | project_repositories                     | table | gitlab
 public | project_statistics                       | table | gitlab
 public | projects                                 | table | gitlab
 public | prometheus_metrics                       | table | gitlab
 public | protected_branch_merge_access_levels     | table | gitlab
 public | protected_branch_push_access_levels      | table | gitlab
 public | protected_branches                       | table | gitlab
 public | protected_tag_create_access_levels       | table | gitlab
 public | protected_tags                           | table | gitlab
 public | push_event_payloads                      | table | gitlab
 public | redirect_routes                          | table | gitlab
 public | release_links                            | table | gitlab
 public | releases                                 | table | gitlab
 public | remote_mirrors                           | table | gitlab
 public | repository_languages                     | table | gitlab
 public | resource_label_events                    | table | gitlab
 public | routes                                   | table | gitlab
 public | schema_migrations                        | table | gitlab
 public | sent_notifications                       | table | gitlab
 public | services                                 | table | gitlab
 public | shards                                   | table | gitlab
 public | snippets                                 | table | gitlab
 public | spam_logs                                | table | gitlab
 public | subscriptions                            | table | gitlab
 public | suggestions                              | table | gitlab
 public | system_note_metadata                     | table | gitlab
 public | taggings                                 | table | gitlab
 public | tags                                     | table | gitlab
 public | term_agreements                          | table | gitlab
 public | timelogs                                 | table | gitlab
 public | todos                                    | table | gitlab
 public | trending_projects                        | table | gitlab
 public | u2f_registrations                        | table | gitlab
 public | uploads                                  | table | gitlab
 public | user_agent_details                       | table | gitlab
 public | user_callouts                            | table | gitlab
 public | user_custom_attributes                   | table | gitlab
 public | user_interacted_projects                 | table | gitlab
 public | user_preferences                         | table | gitlab
 public | user_statuses                            | table | gitlab
 public | user_synced_attributes_metadata          | table | gitlab
 public | users                                    | table | gitlab
 public | users_star_projects                      | table | gitlab
 public | web_hook_logs                            | table | gitlab
 public | web_hooks                                | table | gitlab
(157 rows)

